step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,1362,2,0.19357658595799812,0.0,0.9345454545454546
2,2580,4,0.21092128866877435,0.0,0.9530434782608695
3,3590,6,0.1559194263169443,0.0,0.9698630136986301
4,4472,8,0.1468747891856754,0.0,0.9820971867007673
5,6474,10,0.07651021348178118,0.0,0.9929078014184397
6,7260,12,0.15191771370601231,0.0,0.9771573604060914
7,8654,14,0.06879126027844973,0.5,0.9979381443298969
8,10528,16,0.06021868406761569,0.0,0.9923195084485407
9,11586,18,0.10379234110835717,0.0,0.9896907216494846
10,13716,20,0.06287824589230548,0.0,0.9963144963144963
11,15110,22,0.07019879125204255,1.0,1.0
12,16888,24,0.06675103500833524,0.0,0.9972260748959778
13,18650,26,0.05793906382142931,1.0,1.0
14,19356,28,0.10400844302567948,0.0,0.9825783972125436
15,20622,30,0.07561268140201895,0.5,0.9982517482517482
16,22016,32,0.061180707535661086,0.0,0.995253164556962
17,22818,34,0.0786625923127582,0.0,0.994413407821229
18,23924,36,0.048257215753205754,0.5,0.9978308026030369
19,25174,38,0.0637302879893966,0.5,0.9965156794425087
20,26280,40,0.052296634583026594,0.5,0.9975669099756691
21,27338,42,0.055113468858943845,0.5,0.9936170212765958
22,28668,44,0.047959345386570866,0.0,0.9912587412587412
23,29902,46,0.04737535566797242,0.0,0.996316758747698
24,31312,48,0.034654463769865036,1.0,1.0
25,32786,50,0.03608454641491189,0.5,0.9959839357429718
26,33876,52,0.03545234187374749,0.0,0.9938837920489296
27,35222,54,0.037311429905273426,0.5,0.9981378026070763
28,36856,56,0.03266066291165712,0.5,0.9971139971139971
29,38218,58,0.028771377292089458,1.0,1.0
30,39900,60,0.02243178216969289,1.0,1.0
31,41534,62,0.019137533879925294,0.5,0.9965928449744463
32,42976,64,0.02102302166187999,1.0,1.0
33,44754,66,0.02826151542569627,0.5,0.9976905311778291
34,46468,68,0.02159406287530058,0.0,0.9971139971139971
